,company,impressions_for_wordcloud,indicator1,indicator2,indicator3,indicator4,indicator5,indicator6,Overall Stars,Culture & Values,Work/Life Balance,Senior Management,Compensation & Benefits,Career Opportunities,URL,culture_score,ceo_score
1,Hilton,"{'team': 44, 'great': 19, 'benefits': 21, 'people': 18, 'everyone': 15, 'well': 12, 'employees': 11, 'better': 12, 'best': 12, 'management': 10, 'leadership': 9, 'family': 15, 'need': 8, 'guests': 10, 'good': 10, 'experience': 9, 'nice': 7, 'overall': 7, 'hotel': 10, 'amazing': 9, 'coworkers': 7, 'able': 9, 'customer': 6, 'working': 9, 'time': 9, 'care': 8, 'help': 8, 'cares': 8, 'together': 6, 'travel': 8, 'customers': 5, 'environment': 5, 'making': 5, 'interview': 5, 'communication': 5, 'hard': 5, 'atmosphere': 5, 'always': 5, 'friendly': 7, 'along': 5, 'workers': 5, 'place': 5, 'getting': 5, 'really': 5, 'fair': 4, 'health': 4, 'support': 4, 'corporate': 4, 'supportive': 4, 'needs': 4, 'positive': 4, 'feel': 4, 'members': 4, 'love': 4, 'member': 3, 'job': 2, 'life': 2, 'program': 2, 'truly': 2, 'opportunities': 2, 'culture': 2, 'opportunity': 2, 'unique': 2, 'grow': 2, 'home': 2, 'happy': 2, 'different': 2, 'balance': 2, 'guest': 2, 'property': 2, 'proud': 2, 'pto': 2, 'leave': 2, 'thrive': 2, 'new': 2, 'para': 2, 'hospitality': 2, 'personal': 2, 'career': 2, 'world': 2, 'hotels': 2}",96% Employees say this is a great place to work,"97% When you join the company, you are made to feel welcome.",96% We have special and unique benefits here.,96% I'm proud to tell others I work here.,95% Management is honest and ethical in its business practices.,95% I am treated as a full member here regardless of my position.,4.1,4.1,3.7,3.7,3.8,4,"https://www.glassdoor.com/Overview/Working-at-Hilton-EI_IE330.11,17.htm",B,75
2,Salesforce,"{'people': 39, 'culture': 40, 'team': 32, 'great': 24, 'help': 18, 'time': 22, 'working': 18, 'smart': 15, 'amazing': 16, 'really': 13, 'leadership': 14, 'better': 12, 'love': 13, 'benefits': 15, 'transparency': 12, 'feel': 14, 'need': 10, 'make': 10, 'best': 12, 'environment': 9, 'competitive': 9, 'customers': 11, 'life': 11, 'good': 11, 'always': 8, 'everyone': 11, 'companies': 8, 'willing': 8, 'salary': 8, 'honest': 8, 'much': 7, 'making': 7, 'balance': 10, 'innovation': 7, 'management': 7, 'positive': 7, 'provide': 7, 'politics': 7, 'employees': 7, 'world': 8, 'bonus': 6, 'ability': 6, 'create': 6, 'well': 6, 'extremely': 6, 'support': 8, 'vision': 6, 'goals': 6, 'ohana': 9, 'hard': 6, 'success': 6, 'community': 6, 'volunteer': 5, 'giving': 4, 'values': 4, 'family': 3, 'care': 3, 'equality': 3, 'truly': 3, 'vto': 3, 'focus': 3, 'unique': 3, 'leave': 3, 'volunteering': 3, 'model': 3, '111': 3, 'give': 3, 'encouraged': 2, 'trust': 2, 'opportunities': 2, 'business': 2, 'paid': 2, 'new': 2, 'job': 2, 'commitment': 2, 'office': 2, 'customer': 2, 'communities': 2, 'strong': 2}",92% Employees say this is a great place to work,96% I feel good about the ways we contribute to the community.,95% I'm proud to tell others I work here.,"95% When you join the company, you are made to feel welcome.",94% Management is honest and ethical in its business practices.,93% Our facilities contribute to a good working environment.,4.3,4.5,4.1,4,4.4,4.2,"https://www.glassdoor.com/Overview/Working-at-Salesforce-EI_IE11159.11,21.htm",A+,90
3,"Wegmans Food Markets, Inc.","{'people': 30, 'team': 19, 'feel': 20, 'always': 12, 'help': 16, 'everyone': 17, 'great': 10, 'best': 13, 'customers': 14, 'employees': 8, 'together': 8, 'time': 15, 'part': 8, 'friendly': 9, 'well': 7, 'love': 11, 'enjoy': 7, 'family': 15, 'environment': 6, 'positive': 6, 'working': 11, 'coworkers': 8, 'wegmans': 6, 'want': 5, 'better': 7, 'paid': 5, 'nice': 5, 'workers': 5, 'make': 5, 'things': 5, 'happy': 7, 'never': 4, 'hard': 4, 'treated': 4, 'helpful': 4, '401k': 4, 'actually': 3, 'place': 3, 'able': 6, 'easy': 3, 'comfortable': 3, 'caring': 3, 'every': 3, 'need': 6, 'everything': 3, 'many': 3, 'management': 3, 'excellent': 3, 'expected': 3, 'good': 7, 'benefits': 6, 'care': 6, 'store': 6, 'job': 5, 'unique': 5, 'know': 3, 'life': 3, 'opportunities': 3, 'new': 3, 'give': 3, 'truly': 3, 'different': 3, 'customer': 3, 'opportunity': 3, 'think': 2, 'flexible': 2, 'service': 2, 'sure': 2, 'understanding': 2, 'schedule': 2, 'cares': 2, 'grow': 2, 'personal': 2, 'first': 2, 'stores': 2, 'home': 2, 'willing': 2, 'kind': 2, 'school': 2, 'respect': 2, 'values': 2, 'find': 2}",94% Employees say this is a great place to work,"98% Our customers would rate the service we deliver as ""excellent.""","98% When you join the company, you are made to feel welcome.",97% I feel good about the ways we contribute to the community.,96% Management is honest and ethical in its business practices.,96% I am given the resources and equipment to do my job.,4,4.2,3.9,3.6,3.9,3.9,"https://www.glassdoor.com/Overview/Working-at-Wegmans-Food-Markets-EI_IE3042.11,31.htm",A+,86
4,Workday,"{'team': 14, 'culture': 17, 'great': 9, 'people': 18, 'good': 10, 'management': 6, 'everyone': 9, 'leadership': 7, 'employees': 5, 'amazing': 7, 'managers': 4, 'salt': 4, 'rsus': 4, 'lake': 4, 'really': 4, 'stock': 4, 'hard': 6, 'base': 3, 'others': 3, 'bright': 3, 'department': 3, 'collaborative': 3, 'positive': 3, 'fair': 3, 'feel': 8, 'finance': 3, 'projects': 3, 'technical': 3, 'group': 3, 'working': 5, 'leave': 3, 'home': 3, 'always': 3, 'trying': 3, 'manager': 2, 'jump': 2, 'poorly': 2, 'investing': 2, 'help': 5, 'employee': 2, 'helpful': 2, 'done': 2, 'effort': 2, 'encouraged': 2, 'diversity': 2, 'raises': 2, 'requirement': 2, 'hope': 2, 'salary': 2, 'human': 2, 'keep': 2, 'values': 4, 'fun': 4, 'customers': 4, 'care': 3, 'truly': 3, 'time': 3, 'love': 3, 'best': 3, 'life': 3, 'balance': 3, 'core': 2, 'first': 2, 'job': 2, 'events': 2, 'happy': 2, 'customer': 2, 'community': 2, 'new': 2, 'office': 2, 'family': 2, 'unique': 2, 'focus': 2, 'cares': 2, 'career': 2, 'opportunities': 2, 'remote': 2, 'support': 2, 'giving': 2, 'value': 2, 'benefits': 2, 'bring': 2, 'program': 2, 'workmates': 2, 'experience': 2, 'think': 2, 'teams': 2, 'willing': 2, 'level': 2, 'opportunity': 2}",93% Employees say this is a great place to work,95% I'm proud to tell others I work here.,95% I feel good about the ways we contribute to the community.,"95% When you join the company, you are made to feel welcome.",94% Management is honest and ethical in its business practices.,94% Our facilities contribute to a good working environment.,4,4.1,4.2,3.8,4.1,3.7,"https://www.glassdoor.com/Overview/Working-at-Workday-EI_IE197851.11,18.htm",A-,88
5,Kimpton Hotels & Restaurants,"{'kimpton': 4, 'experience': 3, 'need': 3, 'great': 3, 'move': 2, 'paid': 2, 'real': 2, 'ones': 2, 'change': 2, 'executive': 1, 'exploitation': 1, 'extravagant': 1, 'first': 1, 'gets': 1, 'glass': 1, 'ground': 1, 'environment': 1, 'group': 1, 'growth': 3, 'half': 1, 'hotels': 1, 'hourly': 1, 'hype': 1, 'hyperbole': 1, 'ideas': 1, 'improve': 1, 'inclusivity': 1, 'income': 1, 'industry': 1, 'ergonomics': 1, 'zero': 1, 'engineers': 1, 'intent': 1, 'able': 3, 'allostasis': 1, 'allow': 1, 'another': 1, 'apply': 1, 'bloated': 1, 'boots': 1, 'cares': 3, 'cash': 1, 'ceiling': 1, 'china': 1, 'chosen': 1, 'clothes': 1, 'compared': 1, 'corporate': 1, 'corps': 1, 'culture': 5, 'decision': 1, 'people': 10, 'team': 6, 'feel': 6, 'everyone': 5, 'best': 4, 'truly': 4, 'hotel': 4, 'care': 4, 'family': 4, 'yourself': 4, 'fun': 3, 'guests': 3, 'job': 3, 'love': 3, 'help': 3, 'unique': 3, 'life': 3, 'own': 3, 'encouraged': 3, 'personal': 3, 'time': 3, 'property': 3, 'opportunities': 2, 'better': 2, 'guest': 2, 'home': 2, 'working': 2, 'different': 2, 'grow': 2, 'special': 2, 'diversity': 2, 'good': 2, 'sense': 2, 'big': 2, 'new': 2, 'themselves': 2, 'amazing': 2, 'business': 2, 'goals': 2, 'hard': 2, 'leadership': 2, 'opportunity': 2, 'support': 2, 'balance': 2, 'freedom': 2, 'genuine': 2}",92% Employees say this is a great place to work,95% I'm proud to tell others I work here.,"95% When you join the company, you are made to feel welcome.","94% When I look at what we accomplish, I feel a sense of pride.",94% I can be myself around here.,"93% Our customers would rate the service we deliver as ""excellent.""",4.4,4.5,4.1,4.2,4.1,4.3,"https://www.glassdoor.com/Overview/Working-at-Kimpton-Hotels-and-Restaurants-EI_IE9955.11,41.htm",B,86
6,Cisco,"{'people': 33, 'good': 24, 'great': 19, 'team': 21, 'environment': 12, 'culture': 17, 'flexible': 11, 'make': 9, 'best': 12, 'everyone': 11, 'experience': 9, 'ability': 10, 'process': 8, 'employees': 7, 'less': 7, 'back': 7, 'instead': 7, 'vision': 7, 'working': 11, 'transparency': 7, 'overall': 7, 'management': 6, 'strong': 6, 'collaborative': 6, 'focused': 6, 'friendly': 6, 'challenging': 6, 'really': 6, 'compensation': 6, 'hard': 6, 'benefits': 9, 'based': 6, 'manager': 6, 'leadership': 9, 'base': 6, 'customer': 7, 'time': 9, 'employee': 5, 'things': 5, 'innovation': 5, 'excellent': 5, 'strategy': 5, 'smart': 5, 'happy': 5, 'salary': 5, 'interview': 5, 'years': 5, 'love': 8, 'much': 5, 'politics': 5, 'towards': 5, 'life': 4, 'balance': 4, 'family': 3, 'care': 3, 'feel': 3, 'community': 3, 'give': 3, 'amazing': 3, 'help': 3, 'support': 3, 'flexibility': 3, 'giving': 3, 'opportunities': 2, 'job': 2, 'world': 2, 'home': 2, 'new': 2, 'able': 2, 'customers': 2, 'focus': 2, 'proud': 2, 'business': 2, 'health': 2, 'technology': 2, 'unique': 2, 'truly': 2, 'opportunity': 2, 'better': 2, 'volunteer': 2, 'career': 2, 'need': 2, 'personal': 2, 'remote': 2, 'diversity': 2, 'teams': 2, 'provides': 2}",98% Employees say this is a great place to work,98% I am able to take time off from work when I think it's necessary.,98% I'm proud to tell others I work here.,98% I feel good about the ways we contribute to the community.,"98% When you join the company, you are made to feel welcome.",97% People here are given a lot of responsibility.,4,4,4.2,3.5,4,3.8,"https://www.glassdoor.com/Overview/Working-at-Cisco-Systems-EI_IE1425.11,24.htm",B,76
7,Edward Jones,"{'team': 14, 'clients': 21, 'positive': 11, 'office': 17, 'employees': 8, 'great': 8, 'environment': 7, 'family': 13, 'time': 11, 'leadership': 6, 'friendly': 5, 'culture': 11, 'working': 8, 'bonuses': 5, 'always': 5, 'communication': 4, 'associates': 6, 'better': 6, 'respect': 4, 'every': 4, 'another': 4, 'makes': 4, 'care': 8, 'people': 9, 'help': 10, 'nice': 4, 'well': 4, 'home': 9, 'experience': 4, 'make': 3, 'person': 3, 'teams': 3, 'employee': 3, 'opinion': 3, 'allows': 3, 'process': 3, 'financial': 6, 'treated': 3, 'trimester': 3, 'different': 3, 'good': 6, 'goals': 3, 'fair': 2, 'love': 4, 'close': 2, ""everyone's"": 2, 'relationships': 2, 'matters': 2, 'questions': 2, 'profit': 2, 'many': 2, 'partnership': 9, 'feel': 5, 'support': 5, 'opportunity': 5, 'limited': 4, 'business': 4, 'branch': 4, 'client': 4, 'best': 4, 'everyone': 3, 'own': 3, 'first': 3, 'truly': 3, 'offices': 3, 'unique': 3, 'training': 3, 'job': 3, 'opportunities': 3, 'able': 2, 'others': 2, 'life': 2, 'succeed': 2, 'call': 2, 'caring': 2, 'long': 2, 'partner': 2, 'community': 2, 'balance': 2, 'benefits': 2, 'need': 2, 'advisors': 2, 'new': 2, 'know': 2, 'large': 2}",95% Employees say this is a great place to work,"98% Our customers would rate the service we deliver as ""excellent.""",97% I believe management would lay people off only as a last resort.,97% I'm proud to tell others I work here.,"97% When you join the company, you are made to feel welcome.",96% Management is competent at running the business.,4,4.3,4,4,3.9,4,"https://www.glassdoor.com/Overview/Working-at-Edward-Jones-EI_IE3161.11,23.htm",A,83
8,ULTIMATE SOFTWARE,"{'people': 76, 'team': 57, 'family': 50, 'best': 41, 'care': 37, 'benefits': 38, 'great': 29, 'first': 33, 'everyone': 30, 'paid': 27, 'culture': 27, 'know': 23, 'love': 24, 'time': 24, 'really': 20, 'always': 19, 'feel': 24, 'working': 20, 'help': 20, 'ultimate': 17, 'leadership': 19, 'place': 16, 'make': 15, 'employees': 15, 'want': 15, '401k': 17, 'open': 15, 'well': 14, 'amazing': 18, 'truly': 18, 'environment': 13, 'makes': 13, 'health': 14, 'life': 15, 'medical': 11, 'able': 13, 'many': 11, 'match': 13, 'every': 10, 'support': 12, 'process': 10, 'everything': 12, 'need': 12, 'positive': 10, 'customers': 12, 'things': 10, 'take': 9, 'vision': 9, 'unlimited': 11, 'insurance': 9, 'trust': 11, 'unique': 3, 'job': 2, 'right': 2, 'cares': 2, 'viv': 2, 'new': 2, 'peeps': 2, 'scott': 2, 'better': 2, 'together': 2, 'pto': 2, 'home': 2, 'level': 2, 'community': 2, 'personal': 2, 'others': 2, 'leaders': 2, 'opportunities': 2, '100': 2, 'genuinely': 2}",97% Employees say this is a great place to work,99% We have special and unique benefits here.,99% People celebrate special events around here.,"99% When you join the company, you are made to feel welcome.",98% I'm proud to tell others I work here.,98% I feel good about the ways we contribute to the community.,4.5,4.7,4.5,4.4,4.7,4.4,"https://www.glassdoor.com/Overview/Working-at-Ultimate-Software-EI_IE7900.11,28.htm",A+,98
9,Texas Health Resources,"{'people': 24, 'team': 17, 'good': 16, 'working': 9, 'care': 13, 'employees': 6, 'everyone': 10, 'help': 8, 'well': 5, 'patients': 9, 'leadership': 6, 'always': 4, 'friendly': 6, 'make': 4, 'great': 4, 'family': 10, 'positive': 4, 'love': 5, 'time': 6, 'teamwork': 5, 'environment': 3, 'manager': 3, 'truly': 6, 'best': 6, 'provide': 3, 'treat': 3, 'room': 3, 'health': 3, 'level': 4, 'helping': 2, 'paid': 2, 'part': 2, 'home': 5, 'participate': 2, 'hiring': 2, 'higher': 2, 'place': 2, 'different': 2, 'listen': 2, 'days': 2, 'cost': 2, 'relatively': 2, 'resources': 2, 'respect': 4, 'competitive': 2, 'rockwall': 2, 'hospital': 4, 'overall': 2, 'others': 2, 'managers': 2, 'living': 2, 'thr': 6, 'benefits': 4, 'community': 4, 'culture': 4, 'feel': 4, 'caring': 3, 'promise': 3, 'faith': 3, 'patient': 3, 'life': 3, 'job': 3, 'together': 3, 'based': 3, 'coworkers': 2, 'enjoy': 2, 'support': 2, 'pay': 2, 'balance': 2, 'better': 2, 'personal': 2, 'values': 2, 'know': 2, 'focus': 2, 'believe': 2, 'individuals': 2, 'new': 2, 'opportunity': 2, 'unique': 2, 'ability': 2, 'amazing': 2}",90% Employees say this is a great place to work,95% I'm proud to tell others I work here.,"94% When I look at what we accomplish, I feel a sense of pride.",94% I feel good about the ways we contribute to the community.,"94% When you join the company, you are made to feel welcome.",92% People care about each other here.,3.9,3.9,3.8,3.3,4,3.7,"https://www.glassdoor.com/Overview/Working-at-Texas-Health-Resources-EI_IE7647.11,33.htm",A-,81
10,"The Boston Consulting Group, Inc.","{'good': 4, 'well': 3, 'collaborative': 2, 'health': 5, 'great': 2, 'feedback': 4, 'face': 2, 'staff': 2, 'working': 4, 'environment': 2, 'feel': 3, 'industry': 1, 'improvement': 1, 'impact': 3, 'highly': 1, 'hierarchical': 1, 'benefits': 7, 'hard': 3, 'growth': 1, 'best': 3, 'bonus': 1, 'friendly': 1, 'free': 1, 'focused': 1, 'feels': 1, 'clients': 3, 'change': 1, 'family': 3, 'case': 1, 'ethical': 1, 'insurance': 3, 'enjoy': 1, 'engaged': 1, 'embrace': 1, 'efficient': 1, 'dental': 1, 'dedicated': 1, 'culture': 4, 'coworkers': 1, 'challenging': 1, 'considerate': 1, 'care': 4, 'internally': 1, 'intelligent': 1, 'interviewing': 1, 'rate': 1, 'receptive': 1, 'regularly': 1, 'risks': 1, 'salary': 1, 'seems': 1, 'people': 10, 'bcg': 6, 'opportunities': 3, 'amazing': 3, 'development': 3, 'office': 3, 'time': 3, 'truly': 2, 'team': 2, 'support': 2, 'personal': 2, 'help': 2, 'everyone': 2, 'new': 2, 'learning': 2, 'incredible': 2, 'job': 2, 'level': 2, 'career': 2, 'smart': 2, 'unique': 2, 'better': 2, 'training': 2, 'events': 2, 'focus': 2, 'high': 2, 'beyond': 2, 'business': 2, 'excellent': 2, 'healthcare': 2, 'world': 2, 'diversity': 2, 'mental': 2, 'extremely': 2, 'leadership': 2, 'above': 2, 'individual': 2}",94% Employees say this is a great place to work,98% Our facilities contribute to a good working environment.,98% We have special and unique benefits here.,"98% Our customers would rate the service we deliver as ""excellent.""",97% People here are given a lot of responsibility.,97% People here are willing to give extra to get the job done.,4.1,4.2,2.9,3.8,4.3,4.2,"https://www.glassdoor.com/Overview/Working-at-Boston-Consulting-Group-EI_IE3879.11,34.htm",A+,86
